Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Éder,Criciúma,23,ITA,FW,37-150,57.0,0,0,0,0,1,0,0,0,20.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,16.0,"75,0",3.0,17.0,0.0,0.0,0.0,2024-04-13
Yannick Bolasie,Criciúma,11,COD,FW,34-325,33.0,0,0,0,0,0,0,1,0,9.0,0.0,0,0.0,0.0,0.0,0.1,4.0,0.0,4.0,5.0,"80,0",0.0,6.0,3.0,5.0,3.0,2024-04-13
Renato Kayser,Criciúma,79,BRA,FW,28-056,85.0,1,0,0,0,3,1,0,0,23.0,0.0,0,1.0,0.5,0.5,0.1,1.0,0.0,10.0,15.0,"66,7",4.0,14.0,0.0,1.0,0.0,2024-04-13
Arthur,Criciúma,35,BRA,FW,31-303,5.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,"83,3",1.0,2.0,0.0,1.0,1.0,2024-04-13
Marquinhos Gabriel,Criciúma,10,BRA,AM,33-267,77.0,0,0,0,0,1,1,1,0,40.0,0.0,1,2.0,0.0,0.0,0.3,4.0,1.0,22.0,24.0,"91,7",3.0,24.0,2.0,7.0,5.0,2024-04-13
Matheusinho,Criciúma,17,BRA,AM,26-062,13.0,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,"100,0",1.0,13.0,0.0,2.0,2.0,2024-04-13
Higor Meritão,Criciúma,5,BRA,LM,29-295,90.0,0,0,0,0,0,0,0,0,58.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,39.0,44.0,"88,6",2.0,30.0,0.0,2.0,1.0,2024-04-13
Barreto,Criciúma,88,BRA,CM,28-125,90.0,0,0,0,0,0,0,0,0,46.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,"88,9",3.0,25.0,0.0,1.0,0.0,2024-04-13
Fellipe Mateus,Criciúma,7,BRA,RM,33-061,85.0,0,0,0,0,1,1,1,0,35.0,0.0,0,2.0,0.1,0.1,0.0,2.0,0.0,19.0,27.0,"70,4",4.0,24.0,1.0,0.0,0.0,2024-04-13
Miguel Trauco,Criciúma,14,PER,RM,31-232,5.0,0,0,0,0,0,0,1,0,11.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,"50,0",1.0,6.0,1.0,1.0,0.0,2024-04-13
